time,td,byt,pkt
1521118773289502.0,100,13318,20
1521118773289602.0,100,13250,24
1521118773289702.0,100,27082,29
1521118773289802.0,100,35185,34
1521118773289902.0,100,40470,39
1521118773290002.0,100,19560,25
1521118773290102.0,100,14927,29
1521118773290202.0,100,26319,25
1521118773290302.0,100,21759,30
1521118773290402.0,100,29869,47
1521118773290502.0,100,23174,24
1521118773290602.0,100,43298,39
1521118773290702.0,100,32138,36
1521118773290802.0,100,32935,37
1521118773290902.0,100,53570,50
1521118773291002.0,100,45350,44
1521118773291102.0,100,59520,59
1521118773291202.0,100,50439,51
1521118773291302.0,100,32214,34
1521118773291402.0,100,33000,34
1521118773291502.0,100,36821,40
1521118773291602.0,100,37150,44
1521118773291702.0,100,45931,43
1521118773291802.0,100,51908,51
1521118773291902.0,100,54508,53
1521118773292002.0,100,64083,65
1521118773292102.0,100,48936,46
1521118773292202.0,100,21587,27
1521118773292302.0,100,23559,25
1521118773292402.0,100,35738,48
1521118773292502.0,100,28705,39
1521118773292602.0,100,25140,30
1521118773292702.0,100,19107,29
1521118773292802.0,100,26392,27
1521118773292902.0,100,41869,66
1521118773293002.0,100,30526,45
1521118773293102.0,100,28932,32
1521118773293202.0,100,46968,52
1521118773293302.0,100,23262,35
1521118773293402.0,100,24333,35
1521118773293502.0,100,83201,71
1521118773293602.0,100,98595,89
1521118773293702.0,100,113487,100
1521118773293802.0,100,42671,46
1521118773293902.0,100,43827,44
1521118773294002.0,100,45710,45
1521118773294102.0,100,74012,65
1521118773294202.0,100,53224,50
1521118773294302.0,100,50278,47
1521118773294402.0,100,36855,38
1521118773294502.0,100,50276,44
1521118773294602.0,100,42960,42
1521118773294702.0,100,63094,62
1521118773294802.0,100,60810,58
1521118773294902.0,100,49121,44
1521118773295002.0,100,61030,58
1521118773295102.0,100,56817,54
1521118773295202.0,100,71170,67
1521118773295302.0,100,57936,59
1521118773295402.0,100,37393,39
1521118773295502.0,100,52789,56
1521118773295602.0,100,47877,48
1521118773295702.0,100,51582,52
1521118773295802.0,100,58386,59
1521118773295902.0,100,90797,77
1521118773296002.0,100,86657,72
1521118773296102.0,100,30118,45
1521118773296202.0,100,37088,42
1521118773296302.0,100,25903,36
1521118773296402.0,100,70690,67
1521118773296502.0,100,43028,54
1521118773296602.0,100,32352,40
1521118773296702.0,100,35653,40
1521118773296802.0,100,34987,36
1521118773296902.0,100,30713,45
1521118773297002.0,100,30247,32
1521118773297102.0,100,33079,41
1521118773297202.0,100,40695,45
1521118773297302.0,100,26270,41
1521118773297402.0,100,32967,38
1521118773297502.0,100,21748,29
1521118773297602.0,100,31697,34
1521118773297702.0,100,41806,45
1521118773297802.0,100,52581,69
1521118773297902.0,100,40844,48
1521118773298002.0,100,22328,24
1521118773298102.0,100,35148,44
1521118773298202.0,100,26453,34
1521118773298302.0,100,28755,34
1521118773298402.0,100,47089,48
1521118773298502.0,100,61285,62
1521118773298602.0,100,55670,52
1521118773298702.0,100,47653,49
1521118773298802.0,100,31793,43
1521118773298902.0,100,60871,55
1521118773299002.0,100,46175,46
1521118773299102.0,100,32776,34
1521118773299202.0,100,35638,42
1521118773299302.0,100,60619,52
1521118773299402.0,100,54399,60
1521118773299502.0,100,54022,48
1521118773299602.0,100,32707,36
1521118773299702.0,100,28901,39
1521118773299802.0,100,28426,35
1521118773299902.0,100,30602,35
1521118773300002.0,100,17514,23
1521118773300102.0,100,26404,34
1521118773300202.0,100,29417,33
1521118773300302.0,100,26898,30
1521118773300402.0,100,25096,34
1521118773300502.0,100,31073,31
1521118773300602.0,100,26484,30
1521118773300702.0,100,34948,39
1521118773300802.0,100,32729,36
1521118773300902.0,100,28144,37
1521118773301002.0,100,24684,29
1521118773301102.0,100,21201,24
1521118773301202.0,100,24980,31
1521118773301302.0,100,16352,27
1521118773301402.0,100,6767,21
1521118773301502.0,100,14477,22
1521118773301602.0,100,17145,20
1521118773301702.0,100,29533,33
1521118773301802.0,100,17774,33
1521118773301902.0,100,29850,31
1521118773302002.0,100,13591,26
1521118773302102.0,100,15291,23
1521118773302202.0,100,39211,45
1521118773302302.0,100,24050,26
1521118773302402.0,100,33006,38
1521118773302502.0,100,15741,26
1521118773302602.0,100,41496,50
1521118773302702.0,100,21424,28
1521118773302802.0,100,21244,28
1521118773302902.0,100,43733,45
1521118773303002.0,100,32863,35
1521118773303102.0,100,25527,36
