ts,td,pkt,byt
1489536076551000.0,10000000,19,1855
1489536086551000.0,10000000,26,1988
1489536096551000.0,10000000,5,799
1489536106551000.0,10000000,8,602
1489536116551000.0,10000000,10,904
1489536126551000.0,10000000,10,1108
1489536136551000.0,10000000,14,1128
1489536146551000.0,10000000,15,1404
1489536156551000.0,10000000,6,675
1489536166551000.0,10000000,10,676
1489536176551000.0,10000000,9,846
1489536186551000.0,10000000,12,1016
1489536196551000.0,10000000,11,996
1489536206551000.0,10000000,12,1128
1489536216551000.0,10000000,3,242
1489536226551000.0,10000000,8,676
1489536236551000.0,10000000,14,1128
1489536246551000.0,10000000,11,996
1489536256551000.0,10000000,9,846
1489536266551000.0,10000000,19,1522
1489536276551000.0,10000000,1,92
1489536286551000.0,10000000,23,1604
1489536296551000.0,10000000,6,564
1489536306551000.0,10000000,14,1224
1489536316551000.0,10000000,9,758
1489536326551000.0,10000000,9,846
1489536336551000.0,10000000,5,330
1489536346551000.0,10000000,5,432
1489536356551000.0,10000000,10,938
1489536366551000.0,10000000,12,1016
1489536376551000.0,10000000,12,1040
1489536386551000.0,10000000,15,1555
1489536396551000.0,10000000,8,656
1489536406551000.0,10000000,9,976
1489536416551000.0,10000000,10,1089
1489536426551000.0,10000000,16,1240
1489536436551000.0,10000000,11,982
1489536446551000.0,10000000,25,3640
1489536456551000.0,10000000,6,336
1489536466551000.0,10000000,14,2446
1489536476551000.0,10000000,12,1012
1489536486551000.0,10000000,9,846
1489536496551000.0,10000000,17,1332
1489536506551000.0,10000000,17,1410
1489536516551000.0,10000000,9,578
1489536526551000.0,10000000,9,734
1489536536551000.0,10000000,11,1200
1489536546551000.0,10000000,10,904
1489536556551000.0,10000000,11,958
1489536566551000.0,10000000,15,1298
1489536576551000.0,10000000,2,150
1489536586551000.0,10000000,11,928
1489536596551000.0,10000000,13,958
1489536606551000.0,10000000,16,1735
1489536616551000.0,10000000,5,418
1489536626551000.0,10000000,16,1240
1489536636551000.0,10000000,4,272
1489536646551000.0,10000000,7,544
1489536656551000.0,10000000,11,996
1489536666551000.0,10000000,9,846
1489536676551000.0,10000000,12,1040
1489536686551000.0,10000000,17,1686
1489536696551000.0,10000000,5,282
1489536706551000.0,10000000,14,1050
1489536716551000.0,10000000,14,1128
1489536726551000.0,10000000,14,1128
1489536736551000.0,10000000,11,982
1489536746551000.0,10000000,15,1370
1489536756551000.0,10000000,3,204
1489536766551000.0,10000000,9,976
1489536776551000.0,10000000,15,1186
1489536786551000.0,10000000,9,846
1489536796551000.0,10000000,12,1239
1489536806551000.0,10000000,13,1186
1489536816551000.0,10000000,4,701
1489536826551000.0,10000000,7,622
1489536836551000.0,10000000,7,622
1489536846551000.0,10000000,13,1220
1489536856551000.0,10000000,19,1638
1489536866551000.0,10000000,12,1128
1489536876551000.0,10000000,3,393
1489536886551000.0,10000000,17,1230
1489536896551000.0,10000000,7,656
1489536906551000.0,10000000,17,1506
1489536916551000.0,10000000,9,642
1489536926551000.0,10000000,12,1016
1489536936551000.0,10000000,13,778
1489536946551000.0,10000000,7,544
1489536956551000.0,10000000,10,826
1489536966551000.0,10000000,12,1128
1489536976551000.0,10000000,12,1040
