time,td,byt,pkt
1261070332163486.0,1000000,4096929,6121
1261070333163486.0,1000000,3370785,4792
1261070334163486.0,1000000,3441266,4933
1261070335163486.0,1000000,3780363,6048
1261070336163486.0,1000000,4109669,5682
1261070337163486.0,1000000,4339426,6219
1261070338163486.0,1000000,4298501,6742
1261070339163486.0,1000000,3904800,5982
1261070340163486.0,1000000,2803945,4494
1261070341163486.0,1000000,2313817,4009
1261070342163486.0,1000000,2186191,3239
1261070343163486.0,1000000,3280442,5979
1261070344163486.0,1000000,1745293,3215
1261070345163486.0,1000000,1414246,2478
1261070346163486.0,1000000,3490959,5077
1261070347163486.0,1000000,3282295,4508
1261070348163486.0,1000000,3224247,4621
1261070349163486.0,1000000,3025605,4268
1261070350163486.0,1000000,3563056,4814
1261070351163486.0,1000000,1908841,2872
1261070352163486.0,1000000,2336861,3174
1261070353163486.0,1000000,2351233,3116
1261070354163486.0,1000000,1786206,2650
1261070355163486.0,1000000,2061774,3162
1261070356163486.0,1000000,3009536,4126
1261070357163486.0,1000000,5047366,6227
1261070358163486.0,1000000,3853120,4905
1261070359163486.0,1000000,3496632,5031
1261070360163486.0,1000000,2712453,3885
1261070361163486.0,1000000,2654150,3909
1261070362163486.0,1000000,3084685,4046
1261070363163486.0,1000000,2696686,4024
1261070364163486.0,1000000,2682468,4510
1261070365163486.0,1000000,2941286,4331
1261070366163486.0,1000000,2484606,3887
1261070367163486.0,1000000,3153356,5099
1261070368163486.0,1000000,2994008,5826
1261070369163486.0,1000000,3033867,5057
1261070370163486.0,1000000,3724238,5102
1261070371163486.0,1000000,3272609,4929
1261070372163486.0,1000000,3312044,4607
1261070373163486.0,1000000,4174160,5535
1261070374163486.0,1000000,3991540,5070
1261070375163486.0,1000000,1820272,2689
1261070376163486.0,1000000,1867061,2659
1261070377163486.0,1000000,1670587,2569
1261070378163486.0,1000000,4119084,4899
1261070379163486.0,1000000,1948627,2527
1261070380163486.0,1000000,1610148,2181
1261070381163486.0,1000000,1366604,1917
1261070382163486.0,1000000,1706654,2178
1261070383163486.0,1000000,1794644,2647
1261070384163486.0,1000000,982466,2126
1261070385163486.0,1000000,656441,1782
1261070386163486.0,1000000,743533,1871
1261070387163486.0,1000000,1537349,2737
1261070388163486.0,1000000,1913511,3188
1261070389163486.0,1000000,1027131,2300
1261070390163486.0,1000000,1362675,2181
1261070391163486.0,1000000,989689,2879
1261070392163486.0,1000000,1952374,2802
1261070393163486.0,1000000,1266532,2039
1261070394163486.0,1000000,1137281,1927
1261070395163486.0,1000000,801762,1425
1261070396163486.0,1000000,996976,2191
1261070397163486.0,1000000,1601490,2913
1261070398163486.0,1000000,1399366,2894
1261070399163486.0,1000000,1188950,2118
1261070400163486.0,1000000,1957633,2640
1261070401163486.0,1000000,1678671,2411
1261070402163486.0,1000000,801118,1439
1261070403163486.0,1000000,991777,2063
1261070404163486.0,1000000,1072026,2236
1261070405163486.0,1000000,1600351,2877
1261070406163486.0,1000000,1199135,2240
1261070407163486.0,1000000,1011100,1945
1261070408163486.0,1000000,1134790,1923
1261070409163486.0,1000000,1598150,2472
1261070410163486.0,1000000,1531600,2206
1261070411163486.0,1000000,1218310,1940
1261070412163486.0,1000000,602006,1128
1261070413163486.0,1000000,1033445,1777
1261070414163486.0,1000000,989307,1743
1261070415163486.0,1000000,2671871,3547
1261070416163486.0,1000000,1514037,2475
1261070417163486.0,1000000,1509429,3210
1261070418163486.0,1000000,1250520,2107
1261070419163486.0,1000000,1569043,2581
1261070420163486.0,1000000,3653187,5077
1261070421163486.0,1000000,2837012,3618
1261070422163486.0,1000000,1006852,1752
1261070423163486.0,1000000,529386,1938
1261070424163486.0,1000000,1781074,3767
1261070425163486.0,1000000,2218333,4013
1261070426163486.0,1000000,2929437,4614
