ts,td,pkt,byt
1458298072364000.0,1000000,16081,4953977
1458298073364000.0,1000000,486,21872
1458298074364000.0,1000000,2054,180536
1458298075364000.0,1000000,247,7660
1458298076364000.0,1000000,184,5152
1458298077364000.0,1000000,8131,9513597
1458298078364000.0,1000000,62,2294
1458298079364000.0,1000000,769,67825
1458298080364000.0,1000000,121,8394
1458298081364000.0,1000000,244,13045
1458298082364000.0,1000000,1160,388888
1458298083364000.0,1000000,448,33287
1458298084364000.0,1000000,1022,77406
1458298085364000.0,1000000,1725,902386
1458298086364000.0,1000000,1885,184627
1458298087364000.0,1000000,9120,1078587
1458298088364000.0,1000000,184,5644
1458298089364000.0,1000000,95,6244
1458298090364000.0,1000000,274,33466
1458298091364000.0,1000000,185,8608
1458298092364000.0,1000000,102,10792
1458298093364000.0,1000000,1684,162588
1458298094364000.0,1000000,7708,10945482
1458298095364000.0,1000000,1844,230599
1458298096364000.0,1000000,252,22155
1458298097364000.0,1000000,12087,10729678
1458298098364000.0,1000000,41144,3304213
1458298099364000.0,1000000,8892,959637
1458298100364000.0,1000000,4411,2849400
1458298101364000.0,1000000,4567,560649
1458298102364000.0,1000000,1187,108295
1458298103364000.0,1000000,4673,298539
1458298104364000.0,1000000,907,112684
1458298105364000.0,1000000,849,37979
1458298106364000.0,1000000,368,54238
1458298107364000.0,1000000,259768,216470762
1458298108364000.0,1000000,1687,590311
1458298109364000.0,1000000,413,39952
1458298110364000.0,1000000,158,19435
1458298111364000.0,1000000,161472,9701402
1458298112364000.0,1000000,788,90556
1458298113364000.0,1000000,1660,167895
1458298114364000.0,1000000,82,39480
1458298115364000.0,1000000,1217,105346
1458298116364000.0,1000000,5405,418061
1458298117364000.0,1000000,2986,318581
1458298118364000.0,1000000,1849,155017
1458298119364000.0,1000000,12893,1524872
1458298120364000.0,1000000,2322,184527
1458298121364000.0,1000000,4759,251037
1458298122364000.0,1000000,6969,522892
1458298123364000.0,1000000,24530,2590657
