time,td,byt,pkt
1768370350127904.0,10000000,57606,678
1768370360127904.0,10000000,62370,769
1768370370127904.0,10000000,71366,767
1768370380127904.0,10000000,76035,828
1768370390127904.0,10000000,56505,733
1768370400127904.0,10000000,57292,723
1768370410127904.0,10000000,55091,716
1768370420127904.0,10000000,53991,692
1768370430127904.0,10000000,66095,801
1768370440127904.0,10000000,60585,787
1768370450127904.0,10000000,59233,769
1768370460127904.0,10000000,52924,663
1768370470127904.0,10000000,54982,699
1768370480127904.0,10000000,58033,719
1768370490127904.0,10000000,59406,771
1768370500127904.0,10000000,63621,826
1768370510127904.0,10000000,51473,668
1768370520127904.0,10000000,62206,742
1768370530127904.0,10000000,54201,695
1768370540127904.0,10000000,57233,737
1768370550127904.0,10000000,59066,767
1768370560127904.0,10000000,65360,809
1768370570127904.0,10000000,53651,681
1768370580127904.0,10000000,55608,698
1768370590127904.0,10000000,52725,684
1768370600127904.0,10000000,60554,777
1768370610127904.0,10000000,59958,779
1768370620127904.0,10000000,104612,912
1768370630127904.0,10000000,50681,658
1768370640127904.0,10000000,60361,720
1768370650127904.0,10000000,62466,764
1768370660127904.0,10000000,61757,802
1768370670127904.0,10000000,56300,732
1768370680127904.0,10000000,63503,827
1768370690127904.0,10000000,57803,752
1768370700127904.0,10000000,77621,662
1768370710127904.0,10000000,65557,783
1768370720127904.0,10000000,79883,799
1768370730127904.0,10000000,60180,782
1768370740127904.0,10000000,57765,750
1768370750127904.0,10000000,53373,649
1768370760127904.0,10000000,53752,681
1768370770127904.0,10000000,61099,777
1768370780127904.0,10000000,60145,780
1768370790127904.0,10000000,60034,780
1768370800127904.0,10000000,47901,622
1768370810127904.0,10000000,52009,675
1768370820127904.0,10000000,59444,757
1768370830127904.0,10000000,59070,758
1768370840127904.0,10000000,61283,796
1768370850127904.0,10000000,54872,712
1768370860127904.0,10000000,51581,670
1768370870127904.0,10000000,49409,641
1768370880127904.0,10000000,63342,806
1768370890127904.0,10000000,64418,827
1768370900127904.0,10000000,58395,758
1768370910127904.0,10000000,47244,613
